style,family,bpm,weirdness,style_influence,style_prompt,url
Eurodance,Machines That Dream,138,24,89,"Eurodance, energetic synth stabs, four-on-the-floor beat, catchy female vocals and rap, euphoric 90s dance, fun and energetic",https://musaisong.app/en/style/eurodance
Folk Anthem,Ballads That Break the Sky,96,24,92,"Folk Anthem, acoustic guitar, banjo, stomping kick, gang hey chants, building uplifting vocals, indie-folk singalong, warm and rousing",https://musaisong.app/en/style/folk-anthem
Free Jazz,The Edge of the Map,140,60,93,"Free Jazz, collective improvisation, atonal sax skronk, frantic drums, walking-then-exploding bass, no fixed structure, ecstatic and chaotic",https://musaisong.app/en/style/free-jazz
Future Bass,Machines That Dream,150,30,91,"Future Bass, lush detuned supersaw chords, pitched vocal chops, snappy drums, euphoric melodic drop, colorful future bass, bright and emotional",https://musaisong.app/en/style/future-bass
Gospel-Pop Ballad,Ballads That Break the Sky,74,26,92,"Gospel-Pop Ballad, organ, piano, gospel choir backing, powerful melismatic vocals, uplifting build, soulful inspirational ballad, warm and transcendent",https://musaisong.app/en/style/gospel-pop-ballad
Heavy Metal,Storm and Steel,140,24,97,"Heavy Metal, galloping twin guitars, thunderous double-kick drums, soaring powerful vocals, epic guitar solos, classic 80s heavy metal, mighty and triumphant",https://musaisong.app/en/style/heavy-metal
Hyperpop,The Edge of the Map,160,60,95,"Hyperpop, distorted bass, pitched-up chipmunk vocals, glitchy maximalist production, sugary-aggressive synths, blown-out drums, chaotic and euphoric",https://musaisong.app/en/style/hyperpop
Hypnagogic Pop,Fog and Nostalgia,95,42,89,"Hypnagogic Pop, warped tape-degraded synths, dreamlike half-remembered melodies, hazy vocals, surreal nostalgia, lo-fi hypnagogic, surreal and nostalgic",https://musaisong.app/en/style/hypnagogic-pop
Indie Anthem,Ballads That Break the Sky,88,28,91,"Indie Anthem, chiming delay guitars, piano, building drums, atmospheric soaring vocals, festival indie-rock anthem, euphoric and expansive",https://musaisong.app/en/style/indie-anthem
Jangle Pop,Electric Roads,130,26,90,"Jangle Pop, chiming 12-string guitars, melodic bass, bright drums, warm melodic vocals, sunny ringing hooks, 80s jangle pop, breezy and bright",https://musaisong.app/en/style/jangle-pop
Jazz Fusion,Smoke and Midnight,130,34,92,"Jazz Fusion, virtuosic electric guitar and synths, complex grooves, funky bass, intricate solos, 70s jazz-rock fusion, virtuosic and electric",https://musaisong.app/en/style/jazz-fusion
K-Pop,Summer Sun,120,24,95,"K-Pop, genre-blending production, sharp synths, trap and EDM drops, powerful polished Korean vocals and rap, hyper-catchy hooks, explosive and colorful",https://musaisong.app/en/style/k-pop
Metalcore,Storm and Steel,160,28,93,"Metalcore, chugging breakdown riffs, screamed verses, melodic sung choruses, double-kick drums, modern aggressive metal, intense and dynamic",https://musaisong.app/en/style/metalcore
Musical Theatre Ballad,Ballads That Break the Sky,72,26,93,"Musical Theatre Ballad, dramatic orchestra, theatrical building dynamics, powerful storytelling Broadway vocals, showstopper ballad, grand and emotive",https://musaisong.app/en/style/musical-theatre-ballad
Neo-Bolero,Rain Romance,85,52,93,"Neo-Bolero, nylon guitar with modern production, ambient pads, subtle electronic textures, intimate breathy vocals, cinematic Latin romance, modern and atmospheric",https://musaisong.app/en/style/neo-bolero
Neo-Soul,Rain Romance,82,38,90,"Neo-Soul, warm Rhodes piano, jazzy chords, loose live drums, rich melismatic vocals, organic and soulful, modern soul romance",https://musaisong.app/en/style/neo-soul
Nightcore,The Edge of the Map,170,50,88,"Nightcore, sped-up pitched-up pop vocals, accelerated energetic beat, hyper-bright euphoric remix, anime-fan aesthetic, frenetic and sugary",https://musaisong.app/en/style/nightcore
Phonk,Street and Verse,130,30,90,"Phonk, distorted cowbell, lo-fi Memphis rap vocal chops, heavy 808s, dark menacing atmosphere, drift-racing energy, gritty and hypnotic",https://musaisong.app/en/style/phonk
Piano Ballad,Ballads That Break the Sky,70,24,94,"Piano Ballad, solo grand piano, subtle strings, intimate then powerful vocals, emotional singer-songwriter ballad, raw and moving",https://musaisong.app/en/style/piano-ballad
Power Ballad,Ballads That Break the Sky,72,51,97,"Power Ballad, soaring electric guitar solo, big drums, lush strings, massive belting vocals, 80s arena rock ballad, explosive and emotional",https://musaisong.app/en/style/power-ballad
Qawwali,Distant Worlds,100,28,97,"Qawwali, harmonium, tabla, dholak, hand claps, ecstatic call-and-response Sufi vocals, building to trance, Pakistani devotional, overwhelming and transcendent",https://musaisong.app/en/style/qawwali
R&B Ballad,Ballads That Break the Sky,70,26,91,"R&B Ballad, lush keys, layered harmonies, deep bass, melismatic emotional vocals, contemporary R&B power ballad, smooth and soaring",https://musaisong.app/en/style/rnb-ballad
Reggaetón Romántico,Rain Romance,92,25,90,"Romantic Reggaetón, soft dembow, melodic 808s, autotuned tender vocals, catchy emotional hooks, Latin urban romance, smooth and danceable",https://musaisong.app/en/style/reggaeton-romantico
Rock Anatolio (Psych),Distant Worlds,110,34,92,"Anatolian Psych Rock, electric saz, fuzz guitar, organ, Turkish folk melodies, psychedelic groove, hypnotic and gritty",https://musaisong.app/en/style/anatolian-psych-rock
Sadcore,Fog and Nostalgia,70,38,92,"Sadcore, melancholic slow guitars, soft piano, mournful tender vocals, downbeat atmosphere, sad slow indie, melancholic and intimate",https://musaisong.app/en/style/sadcore
Shibuya-kei,Summer Sun,116,30,92,"Shibuya-kei, lounge samba samples, bossa guitar, vintage strings, breezy stylish Japanese vocals, retro-chic Tokyo pop, sophisticated and playful",https://musaisong.app/en/style/shibuya-kei
Shoegaze,Fog and Nostalgia,100,42,96,"Shoegaze, walls of reverb-drenched distorted guitars, buried ethereal vocals, dreamy melodic bass, hazy wash of sound, classic shoegaze, overwhelming and beautiful",https://musaisong.app/en/style/shoegaze
Soul Ballad,Ballads That Break the Sky,68,22,93,"Soul Ballad, warm organ, horns, gospel-tinged backing, deeply emotive powerful vocals, classic soul heartbreak ballad, raw and moving",https://musaisong.app/en/style/soul-ballad
Sound Collage,The Edge of the Map,,70,90,"Sound Collage, layered spoken word, field recordings, radio static, juxtaposed audio fragments, tape experiment, surreal and narrative",https://musaisong.app/en/style/sound-collage
Synthwave,Machines That Dream,110,28,93,"Synthwave, retro analog synths, gated reverb drums, arpeggiated basslines, nostalgic 80s neon atmosphere, cinematic retrowave, dreamy and driving",https://musaisong.app/en/style/synthwave
Techno,Machines That Dream,132,28,95,"Techno, driving relentless kick, hypnotic synth loops, dark industrial textures, minimal evolving arpeggios, Berlin techno, hypnotic and powerful",https://musaisong.app/en/style/techno
Trap,Street and Verse,140,24,95,"Trap, booming 808 bass, rapid hi-hat rolls, dark menacing synths, confident triplet flow, Atlanta trap, hard and atmospheric",https://musaisong.app/en/style/trap
Vaporwave,Machines That Dream,80,40,89,"Vaporwave, slowed-down chopped 80s samples, lush nostalgic synths, dreamy reverb, surreal mall-music atmosphere, vaporwave, nostalgic and surreal",https://musaisong.app/en/style/vaporwave
